"","pst_PC","pst_Monocle"
"1591",0.22045030716414,0.0232836982001547
"1601",0.283075359989408,0.057776980898778
"1602",0.59277798788858,0.331094193439497
"1603",0.226998651421701,0.0238884508837107
"1604",0.699909253240062,0.450563067742643
"1608",0.872158418947266,0.547524638611452
"1609",0.778856839707708,0.541372844496426
"1610",0.806481180744723,0.544402777997781
"1613",0.766575577048462,0.526524831771935
"1621",0.810664398829288,0.545043308344165
"1622",0.322636734191111,0.0987759924011786
"1624",0.859684379889274,0.547819643836643
"1626",0.588585767259363,0.331070539760188
"1631",0.845993766571223,0.54876290339199
"1634",0.832800865336708,0.547793040007425
"1636",0.769795567216958,0.537100604185418
"1651",0.54246153538787,0.284477206850644
"1652",0.695079346844731,0.446291279408232
"1653",0.223451691944678,0.0236995134402718
"1655",0.261891737637,0.0316951331625676
"1656",0.282559052203425,0.0578550020324827
"1658",0.733587568984642,0.48567220169719
"1659",0.219902149518489,0.0242283398915667
"1662",0.560558994745028,0.303588828433295
"1668",0.335604109229122,0.112437635800109
"1671",0.862053664175207,0.547970166773322
"1674",0.568449096168985,0.308433221071774
"1676",0.483414293207408,0.243385913914754
"1686",0.790978317559514,0.54263800440768
"1688",0.190093041581584,0.020417119882346
"1700",0.853846506660912,0.54845128189864
"1708",0.583138085112933,0.322102147452621
"1709",0.566591637395939,0.308203339595849
"1711",0.558391853092777,0.30367524823383
"1716",0.767563039938528,0.533550322363366
"1719",0.74596897864842,0.501227799715674
"1731",0.852521284089353,0.547511727226784
"1745",0.842365962532497,0.548226767494199
"1747",0.556675026907834,0.29907498931774
"1748",0.607846285266374,0.348861542904468
"1749",0.125089952617986,0.0146054251330925
"1751",0.293591928033858,0.0668191243640675
"1752",0.722113164347686,0.474336691157664
"1759",0.753739996197786,0.50834653684933
"1766",0.613477781907119,0.353309437354395
"1767",0.615143134595625,0.357307182070332
"1769",0.872158418947266,0.548958071704495
"1770",0.809874785633901,0.545245499736481
"1775",0.701028533968204,0.447429791724103
"1781",0.388965137240941,0.174358338412576
"1783",0.565063220751349,0.308329027364589
"1786",0.475725079122948,0.238102746119464
"1793",0.389319376590523,0.174927675494547
"1796",0.583345125194878,0.326571382910831
"1800",0.345004078050851,0.126414695374772
"1809",0.257625308677503,0.0271821507315089
"1811",0.723863083481721,0.470342286790978
"1814",0.328828603129717,0.103034175780969
"1815",0.640742124015861,0.382808227284618
"1819",0.866362651267206,0.547512630786134
"1823",0.852996200454005,0.548413092840638
"1825",0.552819784738228,0.298758132302177
"1833",0.341700582071877,0.126433970553906
"1844",0.451040238307688,0.221845192478673
"1847",0.570100454895236,0.312969049146094
"1850",0.589614343031666,0.333281872211
"1851",0.440258803520635,0.221189801716754
"1854",0.794154480562199,0.54289158288247
"1862",0.76843730149044,0.53339618369998
"1865",0.25518802096562,0.03178281802104
"1871",0.56337465005026,0.308157537158666
"1872",0.129897717985686,0.014817502435926
"1873",0.617741301852006,0.357464218634885
"1877",0.316421295711864,0.0938349454951999
"1891",0.872158418947266,0.548796545806706
"1893",0.854859432898864,0.54922502238323
"1894",0.869470024278577,0.547811984440545
"1896",0.553131511410831,0.299073726486929
"1897",0.481599195764126,0.247956765526555
"1898",0.862827316832183,0.548496470045618
"1907",0.359106328419003,0.140850277449292
"1910",0.833027606681205,0.547019923252286
"1911",0.872158418947266,0.549622560062945
"1916",0.679323108892045,0.423493079682659
"1919",0.734595783168581,0.491451280889995
"1924",0.068435694954707,0.0082921914375659
"1927",0.625842629531067,0.365779327225722
"1930",0.690452016203375,0.443120393353444
"1933",0.620265896696621,0.361470386592618
"1938",0.651304898661756,0.390834503497141
"1944",0.859738002616005,0.547847543681028
"1946",0.572414279282999,0.312883385910844
"1948",0.304147164526771,0.0714989115522268
"1952",0.603366671136896,0.344259571513354
"1956",0.534183923268507,0.274958902768789
"1957",0.379318679230847,0.165219330976675
"1960",0.696079717492384,0.443319948119626
"1961",0.267709880524776,0.0402440073784099
"1963",0.854411451679129,0.546341278085227
